c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|Emily|Cedar Grove|Maple Grove|684742|39285.88|1604.65|54832.27
NULL|NULL|Ashland|Pleasant Grove|707093|21808.61|381.50|57886.14
NULL|Kevin|Little River|Waterloo|711421|27087.04|1154.08|57668.60
NULL|NULL|Macedonia|Riverview|724229|17442.23|747.94|27191.33
NULL|NULL|Riverside|Unionville|735978|25024.58|874.39|41989.03
NULL|Gerald|Brownsville|Summit|738644|14768.40|669.66|32700.84
NULL|NULL|Glendale|Woodville|739824|17499.21|486.92|31282.90
NULL|Barbara|Bunker Hill|Sunnyside|755958|7581.66|275.78|15321.21
NULL|Mellissa|Union Hill|Woodville|763423|24017.15|1899.75|30796.05
NULL|NULL|Unionville|New Hope|796168|21426.30|908.80|30189.02
NULL|NULL|New Hope|Mount Zion|798385|5877.07|285.59|28965.84
NULL|NULL|Bethel|Morris|799572|25304.72|1431.50|51415.20
NULL|NULL|Ashland|Union Hill|811228|24031.63|609.46|43327.90
NULL|NULL|Marion|Buena Vista|815396|15395.75|703.87|42323.57
NULL|NULL|Harmony|Mount Vernon|817488|15536.24|694.74|26252.12
NULL|Grace|Oak Ridge|Valley View|854034|11882.19|559.93|20957.48
NULL|Michelle|Mount Vernon|Wildwood|869693|18984.41|513.76|34079.50
NULL|NULL|Pleasant Hill|Cedar Grove|883578|23318.99|572.72|59258.38
NULL|Adalberto|Mount Olive|Riverview|886642|21467.21|724.60|34413.38
NULL|John|Shiloh|Sheffield|888199|22026.94|658.46|38235.74
NULL|Justin|Hopewell|Oak Grove|891440|21463.26|723.74|45515.95
NULL|NULL|Midway|Allison|902966|18174.18|851.72|43602.07
NULL|NULL|Sunnyside|Deerfield|906953|11499.43|587.52|31512.02
NULL|Brenda|Waterloo|Buena Vista|944637|20300.25|727.32|36925.01
NULL|NULL|Franklin|Farmington|949168|37530.36|1057.06|72356.33
NULL|NULL|Deerfield|Lebanon|957717|18981.29|852.56|46114.15
NULL|Terry|Pleasant Valley|Plainview|960263|19609.67|622.16|50629.45
NULL|NULL|Green Acres|Proctor|964240|22251.08|673.73|55272.97
